employee_id,can_approve_po,can_create_vendor
E1000,True,True
E1001,False,False
E1003,False,False
E1004,False,False
E1005,False,False
E1007,False,False
E1008,True,True
E1009,False,False
E1012,True,True
E1013,True,True
E1014,False,False
E1015,False,False
E1016,True,False
E1017,True,True
E1018,False,False
E1019,False,False
E1020,False,False
E1021,False,False
E1022,False,False
E1023,False,False
E1024,True,False
E1025,False,False
E1026,False,False
E1027,True,False
E1028,False,False
E1030,False,False
E1032,True,True
E1033,True,False
E1034,True,True
E1035,True,True
E1036,False,False
E1037,False,False
E1038,False,False
E1039,False,False
E1040,False,False
E1041,False,True
E1043,True,True
E1044,True,True
E1045,False,False
E1046,True,True
E1047,False,False
E1048,True,True
E1049,False,False
E1050,True,False
E1052,True,False
E1054,False,False
E1055,False,False
E1056,True,True
E1058,False,False
E1059,False,True
