txn_id,month,amount
AP00001,2026-01,5835.14
AP00002,2026-01,9071.7
AP00003,2026-01,3607.89
AP00004,2026-01,2172.02
AP00005,2026-01,1481.36
AP00006,2026-01,10989.66
AP00007,2026-01,8056.03
AP00008,2026-01,10567.23
AP00009,2026-01,1529.58
AP00010,2026-01,9434.01
AP00011,2026-01,3152.13
AP00012,2026-01,10888.94
AP00013,2026-01,8908.43
AP00014,2026-01,11930.69
AP00015,2026-01,11867.08
AP00016,2026-01,12370.42
AP00017,2026-01,12950.08
AP00018,2026-01,3346.34
AP00019,2026-01,7029.95
AP00020,2026-01,2849.21
AP00021,2026-01,8590.34
AP00022,2026-01,1427.89
AP00023,2026-01,10806.86
AP00024,2026-01,10225.19
AP00025,2026-01,1499.47
AP00026,2026-01,4882.41
AP00027,2026-01,831.24
AP00028,2026-02,6493.05
AP00029,2026-02,5565.47
AP00030,2026-02,14010.4
AP00031,2026-02,1396.08
AP00032,2026-02,7876.09
AP00033,2026-02,3131.58
AP00034,2026-02,7047.97
AP00035,2026-02,959.5
AP00036,2026-02,2111.27
AP00037,2026-02,14295.9
AP00038,2026-02,10784.14
AP00039,2026-02,11263.12
AP00040,2026-02,6737.38
AP00041,2026-02,13887.74
AP00042,2026-02,2828.86
AP00043,2026-03,748.52
AP00044,2026-03,544.9
AP00045,2026-03,7211.16
AP00046,2026-03,12331.09
AP00047,2026-03,1401.17
AP00048,2026-03,6496.22
AP00049,2026-03,1473.08
AP00050,2026-03,4785.14
AP00051,2026-03,283.89
AP00052,2026-03,5079.53
AP00053,2026-03,7946.35
AP00054,2026-03,3171.76
AP00055,2026-03,11850.79
AP00056,2026-03,1019.92
AP00057,2026-03,3329.24
AP00058,2026-03,4012.13
AP00059,2026-03,6180.2
AP00060,2026-03,11504.16
AP00061,2026-03,5436.37
AP00062,2026-03,10485.98
AP00063,2026-04,2137.72
AP00064,2026-04,12986.16
AP00065,2026-04,9075.09
AP00066,2026-04,11258.88
AP00067,2026-04,9198.91
AP00068,2026-04,6242.83
AP00069,2026-04,1627.95
AP00070,2026-04,2326.2
AP00071,2026-04,2777.2
AP00072,2026-04,2829.15
AP00073,2026-04,2353.57
AP00074,2026-04,3272.17
AP00075,2026-04,8502.29
AP00076,2026-04,11604.39
AP00077,2026-04,12009.89
AP00078,2026-04,12722.66
AP00079,2026-05,12896.42
AP00080,2026-05,5553.2
AP00081,2026-05,10239.2
AP00082,2026-05,7618.25
AP00083,2026-05,365.0
AP00084,2026-05,12521.79
AP00085,2026-05,5194.04
AP00086,2026-05,5779.22
AP00087,2026-05,5183.96
AP00088,2026-05,12223.11
AP00089,2026-05,5911.91
AP00090,2026-05,12242.59
AP00091,2026-05,8108.64
AP00092,2026-05,2882.14
AP00093,2026-05,756.37
AP00094,2026-05,5720.33
AP00095,2026-05,12885.69
AP00096,2026-05,11608.16
AP00097,2026-06,4809.0
AP00098,2026-06,9884.14
AP00099,2026-06,9869.78
AP00100,2026-06,4797.71
AP00101,2026-06,13138.61
AP00102,2026-06,10866.73
AP00103,2026-06,3435.34
AP00104,2026-06,12177.25
AP00105,2026-06,10179.59
AP00106,2026-06,3895.86
AP00107,2026-06,4586.38
AP00108,2026-06,11322.29
AP00109,2026-06,1385.88
AP00110,2026-06,6679.67
AP00111,2026-06,14464.34
AP00112,2026-06,3991.95
AP00113,2026-06,7646.63
AP00114,2026-06,13626.64
AP00115,2026-06,13143.98
AP00116,2026-06,11865.42
AP00117,2026-06,8092.01
AP00118,2026-06,13961.5
AP00119,2026-07,6577.64
AP00120,2026-07,4505.06
AP00121,2026-07,14528.09
AP00122,2026-07,12429.53
AP00123,2026-07,2559.41
AP00124,2026-07,5808.59
AP00125,2026-07,10239.58
AP00126,2026-07,12968.06
AP00127,2026-07,9356.2
AP00128,2026-07,10779.42
AP00129,2026-07,3078.18
AP00130,2026-07,5185.34
AP00131,2026-07,3125.32
AP00132,2026-07,263.81
AP00133,2026-07,5458.28
AP00134,2026-07,4571.94
AP00135,2026-07,12786.75
AP00136,2026-07,13391.67
AP00137,2026-07,10083.69
AP00138,2026-07,11884.49
AP00139,2026-07,4062.55
AP00140,2026-07,6367.35
AP00141,2026-07,11339.23
AP00142,2026-08,6242.04
AP00143,2026-08,12953.94
AP00144,2026-08,9917.03
AP00145,2026-08,253.55
AP00146,2026-08,7624.51
AP00147,2026-08,3196.97
AP00148,2026-08,7927.08
AP00149,2026-08,14258.56
AP00150,2026-08,14678.84
AP00151,2026-08,14858.72
AP00152,2026-08,7764.52
AP00153,2026-08,12125.72
AP00154,2026-08,14009.76
AP00155,2026-08,4105.82
AP00156,2026-08,12801.49
AP00157,2026-08,6369.19
AP00158,2026-08,8493.52
AP00159,2026-08,9464.46
AP00160,2026-08,11564.35
AP00161,2026-08,12491.86
AP00162,2026-08,9167.88
AP00163,2026-08,4455.05
