invoice_id,vendor_id,vendor_name,amount,invoice_date,approved_by
INV10000,V210,Meridian Components,29902.98,2026-02-04,E1027
INV10001,V210,Meridian Components,5326.98,2026-01-28,E1059
INV10002,V207,Vantage Trucking,24962.08,2026-03-11,E1032
INV10003,V209,Ironclad Fabrication,27276.62,2026-07-03,E1033
INV10004,V200,Acme Supply Co,9281.34,2026-06-12,E1027
INV10005,V208,Falcon Warehousing,22817.6,2026-03-06,E1008
INV10006,V202,Bluewater Freight,4289.59,2026-04-19,E1027
INV10007,V202,Bluewater Freight,2127.29,2026-03-27,E1012
INV10008,V201,Northfield Logistics,28724.53,2026-03-09,E1016
INV10009,V206,Pioneer Materials,33394.21,2026-05-22,E1056
INV10010,V209,Ironclad Fabrication,19331.76,2026-01-03,E1011
INV10011,V207,Vantage Trucking,3524.69,2026-06-26,E1012
INV10012,V209,Ironclad Fabrication,24619.72,2026-08-02,E1035
INV10013,V208,Falcon Warehousing,26275.55,2026-02-07,E1041
INV10014,V210,Meridian Components,5865.93,2026-03-20,E1035
INV10015,V205,Coastal Distribution,40469.32,2026-07-23,E1008
INV10016,V209,Ironclad Fabrication,40466.77,2026-02-23,E1052
INV10017,V206,Pioneer Materials,11341.41,2026-01-27,E1035
INV10018,V211,Silverline Freight,35138.21,2026-04-15,E1049
INV10019,V210,Meridian Components,33764.07,2026-03-02,E1016
INV10020,V210,Meridian Components,43932.84,2026-07-27,E1016
INV10021,V204,Redline Industrial,39681.52,2026-01-07,E1016
INV10022,V205,Coastal Distribution,33184.92,2026-03-27,E1041
INV10023,V208,Falcon Warehousing,36130.25,2026-07-08,E1024
INV10024,V208,Falcon Warehousing,12116.24,2026-07-21,E1056
INV10025,V204,Redline Industrial,4998.09,2026-01-10,E1043
INV10026,V209,Ironclad Fabrication,10126.15,2026-07-29,E1042
INV10027,V201,Northfield Logistics,15832.18,2026-07-30,E1024
INV10028,V210,Meridian Components,10148.12,2026-06-18,E1017
INV10029,V202,Bluewater Freight,18021.2,2026-03-13,E1010
INV10030,V209,Ironclad Fabrication,43514.98,2026-03-13,E1035
INV10031,V210,Meridian Components,28920.46,2026-04-13,E1052
INV10032,V209,Ironclad Fabrication,44154.56,2026-05-18,E1033
INV10033,V200,Acme Supply Co,42274.79,2026-01-30,E1027
INV10034,V206,Pioneer Materials,8158.77,2026-03-09,E1008
INV10035,V211,Silverline Freight,5011.85,2026-04-22,E1035
INV10036,V204,Redline Industrial,32825.25,2026-03-22,E1041
INV10037,V204,Redline Industrial,27338.47,2026-05-11,E1011
INV10038,V201,Northfield Logistics,17426.02,2026-05-28,E1017
INV10039,V200,Acme Supply Co,11574.3,2026-07-01,E1041
INV10040,V208,Falcon Warehousing,225.85,2026-07-26,E1046
INV10041,V205,Coastal Distribution,30955.54,2026-07-09,E1059
INV10042,V211,Silverline Freight,30227.69,2026-04-04,E1041
INV10043,V201,Northfield Logistics,3288.33,2026-06-20,E1033
INV10044,V205,Coastal Distribution,28098.52,2026-06-19,E1011
INV10045,V200,Acme Supply Co,32430.98,2026-03-18,E1044
INV10046,V209,Ironclad Fabrication,14021.42,2026-04-15,E1033
INV10047,V210,Meridian Components,18197.66,2026-03-17,E1046
INV10048,V203,Summit Parts,5858.86,2026-04-18,E1052
INV10049,V211,Silverline Freight,42325.31,2026-06-23,E1059
INV10050,V206,Pioneer Materials,40640.83,2026-06-07,E1048
INV10051,V204,Redline Industrial,13647.6,2026-05-21,E1004
INV10052,V203,Summit Parts,13778.79,2026-02-23,E1041
INV10053,V201,Northfield Logistics,35391.28,2026-06-05,E1050
INV10054,V201,Northfield Logistics,14602.88,2026-04-24,E1042
INV10055,V200,Acme Supply Co,30451.88,2026-05-11,E1043
INV10056,V203,Summit Parts,35749.03,2026-07-23,E1059
INV10057,V208,Falcon Warehousing,7760.66,2026-01-22,E1032
INV10058,V211,Silverline Freight,23268.02,2026-06-12,E1049
INV10059,V211,Silverline Freight,15183.19,2026-07-29,E1024
INV10060,V203,Summit Parts,30324.89,2026-02-27,E1017
INV10061,V205,Coastal Distribution,6758.83,2026-01-12,E1024
INV10062,V202,Bluewater Freight,44279.53,2026-06-06,E1010
INV10063,V210,Meridian Components,20575.42,2026-06-11,E1048
INV10064,V211,Silverline Freight,8870.42,2026-06-28,E1040
INV10065,V200,Acme Supply Co,22322.82,2026-03-04,E1012
INV10066,V211,Silverline Freight,29574.2,2026-01-02,E1011
INV10067,V209,Ironclad Fabrication,35062.16,2026-02-26,E1016
INV10068,V211,Silverline Freight,36214.33,2026-06-28,E1044
INV10069,V207,Vantage Trucking,20985.06,2026-05-23,E1024
INV10070,V201,Northfield Logistics,41298.53,2026-02-01,E1042
INV10071,V209,Ironclad Fabrication,6130.26,2026-04-29,E1052
INV10072,V205,Coastal Distribution,23971.27,2026-05-24,E1049
INV10073,V200,Acme Supply Co,14380.81,2026-07-13,E1042
INV10074,V202,Bluewater Freight,27627.46,2026-07-04,E1044
INV10075,V203,Summit Parts,19289.32,2026-05-21,E1042
INV10076,V204,Redline Industrial,40389.78,2026-07-10,E1043
INV10077,V202,Bluewater Freight,20335.63,2026-07-12,E1024
INV10078,V209,Ironclad Fabrication,37817.85,2026-03-12,E1044
INV10079,V207,Vantage Trucking,21884.18,2026-03-03,E1027
INV10080,V202,Bluewater Freight,19878.29,2026-07-02,E1032
INV10081,V201,Northfield Logistics,10667.04,2026-03-27,E1033
INV10082,V201,Northfield Logistics,40202.25,2026-01-21,E1012
INV10083,V200,Acme Supply Co,6914.76,2026-04-09,E1056
INV10084,V200,Acme Supply Co,7003.32,2026-02-24,E1010
INV10085,V209,Ironclad Fabrication,18756.83,2026-03-26,E1046
INV10086,V204,Redline Industrial,21046.71,2026-01-16,E1017
INV10087,V210,Meridian Components,37505.17,2026-04-10,E1048
INV10088,V208,Falcon Warehousing,42580.88,2026-01-06,E1048
INV10089,V200,Acme Supply Co,17210.09,2026-01-02,E1035
INV10090,V200,Acme Supply Co,13542.78,2026-04-10,E1041
