je_id,posted_by,posted_at,amount,account
JE5000,E1018,6/4/2026 11:00,8704.49,COGS
JE5001,E1043,6/12/2026 12:00,216.36,AP
JE5002,E1057,8/5/2026 8:00,-16308.06,AR
JE5003,E1053,3/12/2026 8:00,-19858.17,COGS
JE5004,E1040,3/9/2026 10:00,9649.24,Payroll
JE5005,E1045,4/20/2026 16:00,-19613.21,Revenue
JE5006,E1056,6/26/2026 10:00,1823.61,AP
JE5007,E1037,5/22/2026 10:00,-2808.53,Revenue
JE5008,E1019,4/6/2026 8:00,15956.99,COGS
JE5009,E1043,3/5/2026 9:00,-5852.85,Payroll
JE5010,E1056,4/15/2026 17:00,9979.1,COGS
JE5011,E1055,2/11/2026 10:00,15256.65,Revenue
JE5012,E1011,7/8/2026 13:00,11295.46,AR
JE5013,E1051,6/22/2026 11:00,-9327.77,Inventory
JE5014,E1006,4/8/2026 8:00,14343.73,COGS
JE5015,E1012,7/29/2026 15:00,-6013.66,COGS
JE5016,E1014,1/7/2026 11:00,-4061.36,AP
JE5017,E1055,1/19/2026 12:00,-5954.15,Payroll
JE5018,E1025,6/23/2026 16:00,-6754.01,Revenue
JE5019,E1007,3/9/2026 10:00,3223.59,AP
JE5020,E1002,1/28/2026 17:00,-2617.45,Inventory
JE5021,E1050,3/23/2026 14:00,4248.35,Payroll
JE5022,E1007,4/9/2026 17:00,-12396.85,Revenue
JE5023,E1045,4/22/2026 8:00,796.81,Payroll
JE5024,E1043,7/6/2026 11:00,-5431.14,Revenue
JE5025,E1042,3/26/2026 17:00,-7443.37,Revenue
JE5026,E1046,3/18/2026 16:00,-7628.61,AR
JE5027,E1020,4/14/2026 12:00,2176.5,COGS
JE5028,E1026,6/22/2026 14:00,7092.72,COGS
JE5029,E1039,5/26/2026 12:00,-3756.99,Revenue
JE5030,E1019,3/16/2026 11:00,-2804.47,Payroll
JE5031,E1038,6/17/2026 13:00,-1400.47,AR
JE5032,E1043,2/24/2026 16:00,-1072.55,Inventory
JE5033,E1010,6/18/2026 9:00,-8648.54,Inventory
JE5034,E1040,6/8/2026 13:00,-16264.51,COGS
JE5035,E1043,3/23/2026 11:00,12262.52,COGS
JE5036,E1001,1/12/2026 11:00,19357.44,Payroll
JE5037,E1054,7/16/2026 9:00,-1783.35,Inventory
JE5038,E1036,2/19/2026 14:00,-224.91,COGS
